Etappe;Stadt;Betrieb;bett+bike;albcard.de;Unnamed: 5;Straße;Telefon;Website;Entfernung;Hm;Latitude;Longitude
6;Hausen am Tann;Ferienwohnung Haus Elfi;;;;Oberhauserstraße 19;07436 275;fewo-haus-elfi.de;direkt;;48.2000629;8.8392956
6;Schömberg;Hotel-Café Baier;;X;;Balinger Str. 1;07427 2550;cafe-baier.de;4,0 km;53 Hm;48.2116007;8.7579876
6;Schömberg;Camping Schömberger Stausee;;;X;Beim Stausee 2;07427 91111;heinerscamp.de;2,0 km;55 Hm;48.2110167;8.7704235
6;Schömberg;Hotel Landhaus Obere Säge;;;;Obere Säge 1-3;07427 / 931930;obere-saege.de;1,6 km;;48.2010917;8.7787163
6;Denkingen;Gästehaus Klippeneck;;;;Auf dem Klippeneck 7;07424 84634;klippeneck-wb.de;direkt;;48.1059086;8.7557142
6;Dürbheim;Landgasthof Waldeck;;X;;Risiberg 8;07424 2419;waldeck-risiberg.de;direkt;;48.0508153;8.808087
6;Wehingen;Best Western Schlossberg-Hotel;;X;;Daimlerstr. 2;07426 5269817;hotel-wehingen.de;3,7 km;4 Hm;48.1488451;8.78644
6;Wurmlingen;Hotel Traube Revital;;X;;Untere Hauptstraße 43;07461 9380;hoteltraube.de;direkt;;48.0013752;8.7803185
6;Wurmlingen;Gasthof zum Löwen;X;;;Karlstr. 4;07461 93300;loewen-wurmlingen.de;direkt;;48.0021146;8.7781892
6;Tuttlingen;Légère Hotel;X;X;;Königstr. 25;07461 96160;legere-hotels-online.com/tuttlingen;direkt;;47.9854472;8.8230974
6;Tuttlingen;Hotel Rössle;X;;;Honbergstr. 8;07461 2913;hotelroessle.eu;direkt;;47.9851871;8.8191403
6;Tuttlingen;Légère Express;;X;;Am Seltenbach 2-3;07461 965040;charlys-house.de;direkt;;47.9857034;8.8208384
6;Tuttlingen;Hotel-Cafè Schlack;;;;Bahnhofstr. 59;07461 9440;hotelschlack.de;;;47.9829541;8.8125953
6;Tuttlingen;Hotel Restaurant Ritter;X;;;Königstr. 12;07461  966330;hotel-restaurant-ritter.de;direkt;;47.9846947;8.8203541
